latitude,longitude,title,address,description,theme
34.0568772,-118.2780846,Building Trades and other Union offices,"2200 West 7th Street, Los Angeles, CA","According to the 1973 City Directory, the building housed the Building Trades AFL-CIO; News Vendors Union Local 75; Building Trades AFL-CIO; Paint Makers Local Union 1232; Carpenters Floor Worker's; Carpenters Los Angeles County District; State Building and Construction Trades Council; Hotel and Motel Service and Club Employee's",union hall
34.0575373,-118.279533,Social Services Union Local 535,"2300 West 7th Street, Los Angeles, CA",According to the 1973 Directory,union hall
34.0575126,-118.2795848,IBEW,"2304 West 7th Street, Los Angeles, CA",According to the 1973 Directory,union hall
34.0575227,-118.2796066,IBEW,"2316 West 7th Street, Los Angeles, CA","According to the 1973 Directory, 1987 Directory",union hall
34.0575244,-118.2796102,IBEW,"2318 West 7th Street, Los Angeles, CA","According to the 1973 Directory, 1987 Directory",union hall
34.0578611,-118.2804319,National Association of Letter Carriers,"2412 West 7th Street, Los Angeles, CA",According to the 1973 Directory,union hall
34.058373,-118.2813758,Plumbers Union Local No. 78 AFL-CIO,"2504 West 7th Street, Los Angeles, CA",According to the 1973 Directory,union hall
34.0585688,-118.282163,Youth Committee for Peace & Democracy,"2548 West 7th Street, Los Angeles, CA",According to the 1973 Directory,peace movement
34.057024,-118.280058,International Union of Operating Engineers; Building Trades AFO-CIO Local No 12,"724 South Park View Street, Los Angeles, CA",According to the 1987 Directory,union hall
34.0573455,-118.2805722,Los Angeles Electrical Workers Credit Union,"729 South Park View Street, Los Angeles, CA",1987 Directory,
34.0563943,-118.2735609,Peoples College of Law; Committee for Justice,"660 South Bonnie Brae Street, Los Angeles, CA",1987 Directory,law
34.0622654,-118.2984956,Teamsters Joint Council No 42,"3435 Wilshire Boulevard, Los Angeles, CA",1987 Directory,union hall
34.0612062,-118.3016746,Southern California District Council of Laborers,"3540 Wilshire Boulevard, Los Angeles, CA",1987 Directory,union hall
34.0639575,-118.2867839,Laborers Construction Trust Funds,"2999 West 6th Street, Los Angeles, CA",1987 Directory,
34.0646682,-118.2903464,Laborers International Union of North America,"515 Shatto Place, Los Angeles, CA",1987 Directory,union hall
34.0471587,-118.281303,LIUNA,"2005 West Pico Boulevard, Los Angeles, CA",1987 Directory,union hall
34.0646611,-118.2870714,LIUNA,"512 South Virgil Avenue, Los Angeles, CA",1987 Directory,union hall
34.0600786,-118.2814857,Amalgamated Transit Union Div. 1277,"2500 Wilshire Boulevard, Los Angeles, CA",1987 Directory,union hall
34.0482367,-118.2670973,Plumbers Union Local 78,"1111 West 9th Street, Los Angeles, CA",1987 Directory,union hall
34.0508105,-118.2737659,Teamsters Joint Council No 42,"1616 West 9th Street, Los Angeles, CA",Also at this address according to 1987 City Directory: Teamsters and Miscellaneous Warehousemen Drivers; Teamsters Local union 578;Amalgamated Lithographers Credit Union,union hall
34.0515952,-118.2751486,Bricklayers & Stonemasons Union,"1740 West 9th Street, Los Angeles, CA",1987 Directory,union hall
34.0536053,-118.2797792,L.A. County Federation of Labor; AFL-CIO Immigrant Assistance Program,"2130 West 9th Street, Los Angeles, CA",1987 Directory,"union hall, immigration"
34.0596836,-118.2805732,Teamsters Joint Council No 42,"2420 Wilshire Boulevard, Los Angeles, CA",1987 Directory,union hall
34.037289,-118.279476,SEIU Local 660,"950 West Washington Boulevard, Los Angeles, CA",1987 Directory,union hall
34.0524288,-118.2672604,Hospital and Service Employees Union Local,"1247 West 7th Street, Los Angeles, CA",1987 Directory,union hall
